id,post_message,link_title,affluence_index,likes,comments,shares,link,muslim_prop,male_prop,age_index
26781952138_10155581437112139,,Video: Pak shelling damages school in Poonch sector,1.53,121,28,5,http://timesofindia.indiatimes.com/videos/news/school-damaged-in-poonch-sector-due-to-pakistan-shelling/videoshow/59503960.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,12.70%,83.74%,0.37
26781952138_10155581437822139,,"Video: GST stir- Cracks appear among Surat textile traders, some shops reopen",1.53,140,2,3,http://timesofindia.indiatimes.com/videos/city/ahmedabad/gst-stir-cracks-appear-among-surat-textile-traders-some-shops-reopen/videoshow/59653377.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,14.63%,82.93%,0.38
26781952138_10155581446822139,,7 reasons sex can hurt,1.53,616,71,14,http://timesofindia.indiatimes.com/life-style/health-fitness/7-reasons-sex-can-hurt/photostory/54715579.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI&utm_content=om-bm,13.62%,90.48%,0.40
26781952138_10155581456672139,"SC demands Vijay Mallya's presence to proceed in contempt case

Read more: http://toi.in/tEh6BZ",,1.54,94,5,4,https://www.facebook.com/TimesofIndia/videos/10155605185002139/,9.20%,80.25%,0.37
26781952138_10155581485127139,,Terrorists attack police party in J&K's Anantnag,1.54,424,81,14,http://timesofindia.indiatimes.com/india/terrorists-attack-police-party-in-jks-anantnag/articleshow/59531634.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,16.63%,86.41%,0.39
26781952138_10155581492712139,Prime Minister Narendra Modi is well known for his gift of the gab,PM Modi and his love for witty acronyms,1.54,289,22,10,http://timesofindia.indiatimes.com/business/india-business/pm-modi-and-his-love-for-witty-acronyms/articleshow/59631259.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,5.81%,81.97%,0.38
26781952138_10155581494387139,"Amarnath yatra attack was aimed at disturbing communal harmony: J&K CM Mehbooba Mufti 

Read more: http://toi.in/kbZuqZ",,1.54,126,42,13,https://www.facebook.com/TimesofIndia/videos/10155610484697139/,13.39%,88.10%,0.40
26781952138_10155581509382139,"Iran's foreign minister calls new UN sanctions illegal 

Read more: http://toi.in/gFiisa",,0.83,25,1,1,https://www.facebook.com/TimesofIndia/videos/10155623975742139/,16.67%,66.67%,0.39
26781952138_10155581652947139,Around eight youths from Nagpur had gone to the dam to celebrate birthday in a boat,9 youngsters feared drowned in Vena Dam near Nagpur,1.54,230,10,5,http://timesofindia.indiatimes.com/city/nagpur/9-youngsters-feared-drowned-in-vena-dam-near-nagpur/articleshow/59517027.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,14.80%,70.48%,0.39
26781952138_10155581662027139,Jairam Ramesh said India will have to shed its old mantras that we did not contribute to global warming.,India most vulnerable to climate change : Jairam Ramesh,1.54,109,10,2,http://timesofindia.indiatimes.com/city/mumbai/india-most-vulnerable-to-climate-change-jairam-ramesh/articleshow/59532288.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,13.68%,82.98%,0.38
